State,JanVol,FebVol,MarVol,AprVol,MayVol,JunVol,JulVol,AugVol,SepVol,OctVol,NovVol,DecVol,Total
Alabama,291728994,281384813,283027406,314792658,306397246,309625319,311038052,309851672,340861956,303866575,377068156,326920189,3756563036
Alaska,27616153,31429998,33479574,31245846,30765518,32646936,50874798,46298947,39529580,32931339,28417948,27872649,413109286
Arizona,302706606,307144391,328258151,308293579,321550727,311103769,310393366,327723897,311721761,312734502,316392903,323406350,3781430002
Arkansas,156075765,172637367,186398576,173863929,190837817,187186937,182740404,196993098,184487929,182184207,187032599,178833180,2179271808
California,1441035832,1440272125,1586977370,1528544192,1542144155,1592708273,1584881575,1635278573,1605094355,1575435157,1487300529,1670389876,18690062012
Colorado,235962472,222491885,244276417,238581868,246198864,262437128,278018731,279545632,263912222,260177209,241495188,247758550,3020856166
Connecticut,137439338,131888072,151538062,143396308,151522171,156891714,151651679,155786232,155025001,151724463,147558440,155115157,1789536637
Delaware,42119997,41844634,51471395,48725699,49725489,49004652,51508163,53357601,47015440,46675883,47106327,46164276,574719556
DC,9470544,10795254,11464069,15281275,10409645,14072723,13146663,13999060,10787689,11915839,11140668,11386760,143870189
Florida,889813657,872828033,872624076,961953088,845248807,953256728,896622464,902507272,883623100,840295549,912046135,880465005,10711283914
Georgia,505751389,507071254,562389070,543996448,558895283,545988208,280913667,569138749,514052102,544716069,517747523,525757902,6176417664
Hawaii,43338549,41377135,43366848,45912259,45042649,43175736,44826584,43435409,47259750,20859177,54914146,52531150,526039392
Idaho,75526308,96156924,79344222,80387763,85805241,96273027,82091887,99537637,115086642,101610358,92396499,96159189,1100375697
Illinois,514326574,485589690,554599245,535486401,544570646,562503345,540815992,552409586,550023237,553839685,525665976,562936464,6482766841
Indiana,347750525,340414750,358326445,370050845,386786830,392540949,375499242,401871959,377655275,385072302,369743541,377050020,4482762683
Iowa,195936624,177722932,194601195,199868554,209341884,211758674,198881972,226290179,199368524,210594680,209804907,204740018,2438910143
Kansas,140481377,144330212,163139931,145351096,151421937,160519053,163237878,154552341,165582637,149457650,149497127,165398820,1852970059
Kentucky,232312997,230105040,256138920,253497110,260134849,257772851,261910584,268785093,254116295,263143730,249520623,246404041,3033842133
Louisiana,258031249,246051181,266052676,222835989,263203595,260817903,219852676,211217501,263102623,271271602,258493573,256377171,2997307739
Maine,81595325,74435298,80149731,21744028,129054048,87890072,49999924,134904569,91266240,74800983,110114975,83419680,1019374873
Maryland,250147883,252025846,278433632,260629184,276424541,284946147,285890189,287468584,302590421,281522691,261710441,276799677,3298589236
Massachusetts,262744019,262589803,267472959,268014167,281442301,284108959,283253024,288964704,273597708,273662772,269199081,283893328,3298942825
Michigan,501306516,436133130,443882458,459925242,502747371,502752369,508084051,522444238,489262807,493780087,480920853,464053817,5805292939
Minnesota,257467180,259196490,288752755,271498883,301574321,312483299,309567872,325588230,295315492,319896442,291500158,284441519,3517282641
