State,JanVol,FebVol,MarVol,AprVol,MayVol,JunVol,JulVol,AugVol,SepVol,OctVol,NovVol,DecVol,Total
Alabama,226552,215690,216481,238805,232439,240617,237571,243924,244198,232460,237426,226595,2792760
Alaska,20961,21011,23079,22918,25799,28138,30056,29325,26564,24124,21430,23535,296940
Arizona,237464,240208,250980,242129,251032,237894,247702,251326,240025,247851,240039,246753,2933404
Arkansas,111982,118074,130765,127042,132187,132144,136053,132811,129853,131760,126288,128625,1537585
California,1222467,1226620,1301398,1279594,1324240,1298021,1332313,1365011,1290004,1320434,1251787,1295805,15507694
Colorado,189009,177301,192897,187696,196272,207057,218791,219160,205985,203847,189296,197327,2384638
Connecticut,119116,113659,123340,123084,129775,129934,131623,132767,125898,130371,126595,129779,1515941
Delaware,37504,36617,45084,43222,43846,42499,46134,46701,40675,41050,41108,40223,504664
District of Columbia,8348,9672,9943,13950,9229,12651,11750,12528,9504,10575,9935,10121,128207
Florida,755632,745013,742644,805018,706061,815765,757489,771051,748082,708031,768380,741277,9064442
Georgia,399810,398691,442029,427204,443448,428263,208858,445883,403472,428099,406982,416508,4849246
Hawaii,39287,37381,39406,41412,40626,39237,40384,39792,41676,18913,49429,48732,476275
Idaho,52490,69695,55725,58560,62948,70939,59538,74831,84680,71733,68269,68487,797894
Illinois,400161,371652,412124,412713,422228,414480,423075,423015,403690,418058,399454,418604,4919255
Indiana,251514,243892,255433,265684,279418,281016,273010,288000,267455,274903,265260,269300,3214885
Iowa,140417,125999,138952,142191,151836,153467,147997,160888,145172,147861,149154,145747,1749680
Kansas,107396,104308,114659,114058,119195,121024,122152,120218,115487,116451,113763,117032,1385745
Kentucky,168053,166742,187888,186758,194114,194590,199287,201188,191395,191862,185039,187009,2253925
Louisiana,191195,189026,204568,167256,205276,200818,171379,163417,203139,205409,199095,199738,2300316
Maine,64411,59928,63518,15453,108664,69751,40659,114429,80822,58925,83410,65952,825923
Maryland,207334,211915,231928,214872,232674,237006,239592,240704,257000,234751,219090,234996,2761863
Massachusetts,224483,224340,231389,231842,241641,246314,247163,249997,236335,237989,232015,244196,2847702
Michigan,376116,370679,380217,382681,422354,428268,421240,437283,413022,398779,396752,394238,4821629
Minnesota,211540,203966,228377,212070,235622,238012,240352,249595,222473,237922,219621,218571,2718121
Mississippi,129986,143621,159377,146890,158316,146182,146182,152896,148244,153967,138619,147923,1772202
Missouri,253009,254642,268726,270976,279684,281432,287469,287038,272516,274880,261301,272001,3263674
Montana,38013,38405,42668,42152,47363,52783,57013,55771,48661,45521,42472,42459,553280
Nebraska,69335,65637,75208,73603,79089,84005,82406,81967,78794,76199,74933,77071,918247
Nevada,93456,90946,99133,96010,100707,102456,106629,105926,100593,100635,95573,98658,1190722
New Hampshire,57370,54749,57693,56304,60501,62542,65880,66966,60626,62069,58059,61349,724108
New Jersey,329858,323761,351133,346700,362383,371705,377083,380952,354134,362227,333536,348838,4242312
New Mexico,77005,76040,80639,79113,81810,81143,86888,80980,89378,79067,74709,87813,974583
New York,476889,476645,455847,444592,483389,474747,505481,481812,466117,463899,518672,486163,5734254
North Carolina,350779,351076,399910,408523,405910,409151,412938,432096,389137,416095,388450,400730,4764797
North Dakota,34074,31026,31381,40502,40083,40949,42086,41935,37975,36742,37792,35937,450481
Ohio,407481,390074,420366,422852,443524,442800,451377,461170,438703,443321,425092,431043,5177802
Oklahoma,117302,210347,187996,133652,214308,129872,199162,183247,159012,149302,134972,178139,1997311
Oregon,117505,129059,131640,133448,133687,142229,148633,152370,138107,135950,127725,123761,1614113
Pennsylvania,382071,371134,406014,407917,423705,427258,434725,440073,413943,436750,422907,441764,5008261
Rhode Island,30854,29107,32791,33513,33660,32684,30741,30200,30405,32499,29617,35013,381082
South Carolina,221633,226235,243673,239963,254272,247750,257029,257821,213544,255179,233185,234516,2884798
South Dakota,38228,34583,34686,35229,37368,44593,47915,47238,48036,42294,41271,39749,491191
Tennessee,286698,233350,295889,281010,302049,319485,290150,305230,255658,332202,266130,303551,3471404
Texas,1146328,1127677,1221161,1178324,1226926,1193656,1244093,1228214,1194472,1231018,1176036,1185585,14353492
Utah,94456,92613,97641,98632,101206,104848,111702,111911,102628,104785,96516,102904,1219845
Vermont,24779,23754,24916,23263,26590,27610,28419,30201,26908,27320,25000,26238,314996
Virginia,324626,277945,378523,287537,276261,463158,374393,356160,365710,346290,343733,317627,4111964
Washington,223209,217736,243260,249786,248190,259696,166051,73502,220935,369430,362344,236848,2870987
West Virginia,60434,54494,63385,67778,63086,76943,87115,82954,66018,73483,39680,100603,835972
Wisconsin,212187,179067,162349,274804,246023,213470,251000,265834,223309,224938,204004,206058,2663044
Wyoming,22418,36616,19521,25880,35047,21017,31706,35517,38449,44868,35746,29040,375825
