State,JanVol,FebVol,MarVol,AprVol,MayVol,JunVol,JulVol,AugVol,SepVol,OctVol,NovVol,DecVol,Total
Alabama,65177,65695,66546,75988,73958,69008,73467,65928,96664,71407,139642,100325,963803
Alaska,6656,10419,10401,8328,4966,4509,20819,16974,12966,8807,6988,4337,116169
Arizona,65243,66936,77278,66165,70519,73210,62691,76398,71697,64883,76354,76653,848026
Arkansas,44094,54563,55634,46822,58651,55043,46688,64182,54635,50424,60744,50208,641687
California,218569,213652,285579,248950,217904,294687,252568,270268,315091,255001,235513,374585,3182368
Colorado,46954,45191,51379,50886,49926,55380,59228,60385,57927,56331,52199,50431,636218
Connecticut,18324,18229,28198,20312,21747,26958,20028,23019,29127,21354,20964,25336,273595
Delaware,4616,5228,6387,5504,5879,6506,5374,6656,6340,5625,5998,5941,70056
District of Columbia,1122,1123,1521,1331,1181,1422,1397,1471,1283,1341,1206,1266,15664
Florida,134182,127815,129980,156935,139188,137492,139134,131456,135541,132265,143666,139188,1646842
Georgia,105942,108380,120360,116792,115447,117726,72056,123256,110581,116617,110766,109250,1327172
Hawaii,4052,3996,3960,4500,4417,3939,4443,3644,5584,1946,5485,3799,49764
Idaho,23037,26462,23620,21828,22857,25334,22553,24707,30407,29877,24127,27672,302482
Illinois,114166,113938,142475,122773,122343,148024,117740,129395,146333,135782,126212,144333,1563512
Indiana,96237,96523,102894,104367,107368,111525,102489,113872,110200,110169,104484,107750,1267878
Iowa,55519,51723,55650,57678,57506,58292,50885,65402,54196,62734,60651,58993,689230
Kansas,33085,40022,48481,31293,32227,39495,41086,34334,50095,33007,35734,48366,467225
Kentucky,64260,63363,68251,66739,66021,63183,62623,67597,62721,71281,64482,59395,779917
Louisiana,66836,57025,61485,55580,57928,60000,48473,47800,59963,65863,59399,56639,696992
Maine,17184,14507,16631,6291,20390,18139,9341,20476,10444,15876,26705,17468,193452
Maryland,42814,40110,46505,45757,43751,47940,46298,46764,45590,46772,42621,41804,536726
Massachusetts,38261,38250,36084,36172,39801,37795,36090,38968,37263,35674,37184,39698,451241
Michigan,125190,65454,63665,77244,80393,74484,86844,85161,76241,95001,84169,69815,983664
Minnesota,45927,55231,60376,59428,65952,74471,69216,75993,72842,81974,71879,65871,799162
Mississippi,47876,51239,52119,57580,63634,63594,63625,51538,64851,58792,58204,54941,687994
Missouri,61525,87054,99697,72793,88309,101400,67465,94802,93047,82201,94754,100124,1043171
Montana,18817,18560,21751,21630,20868,23733,22116,26168,24570,23097,22881,21548,265741
Nebraska,31840,28247,48612,34982,35483,46181,36580,38838,44761,41200,37699,42774,467201
Nevada,25914,26788,24186,29515,31688,27576,33377,34231,23614,33426,30847,16420,337582
New Hampshire,8471,7890,6648,7831,8695,7743,8813,9347,7130,9559,8688,7540,98355
New Jersey,64349,70109,79500,79272,80482,88515,73072,79047,73584,72951,70838,70443,902162
New Mexico,42392,43040,43064,45483,43908,46124,44244,44941,48723,47227,44399,46640,540185
New York,91646,95039,179388,92177,99553,183386,95604,105177,187016,94524,96740,179875,1500127
North Carolina,82572,93178,90366,83603,101230,94313,87442,104606,91741,94128,100128,91103,1114409
North Dakota,24791,16009,21940,25494,26852,26360,25382,22665,29234,30698,18509,23880,291814
Ohio,121002,124490,135993,125102,133476,137757,122991,142999,139304,134059,137558,133764,1588495
Oklahoma,58552,66805,46792,62007,67433,127694,46881,66944,85854,87118,109271,61992,887342
Oregon,44339,44226,46379,45966,47664,48742,49081,49680,49518,48137,46232,45607,565570
Pennsylvania,109039,106936,145155,112926,116610,147238,114129,123531,147850,118047,113827,137481,1492768
Rhode Island,4886,4588,4138,4759,7977,2146,4657,-322,-689,4317,14306,3921,54682
South Carolina,71189,50471,74162,74339,64372,71581,71683,78120,68933,74014,73734,71450,844048
South Dakota,17351,16234,16299,18248,18117,19778,20875,19515,21085,21487,22833,19637,231457
Tennessee,56914,78554,88911,70964,86790,83431,79809,87760,88349,74401,90071,83303,969256
Texas,402354,403318,472150,405850,426663,470335,414965,434376,548907,498041,418378,434491,5329829
Utah,32422,37391,40478,38011,32894,44826,44705,43416,43485,39139,39851,37554,474173
Vermont,5793,4471,6175,5136,5181,6409,6006,6268,8379,5895,5629,6491,71834
Virginia,81071,84024,85450,66725,64108,137213,91917,90845,82630,92916,99749,66875,1043522
Washington,50460,50765,56639,54878,59332,57464,43823,33939,42883,109669,68020,54163,682035
West Virginia,29328,21328,18141,29374,16305,22375,33162,23997,19616,32145,11505,29058,286336
Wisconsin,64199,56873,28391,97966,74251,68100,70982,72472,81188,74413,59122,60015,807973
Wyoming,26372,33793,15324,23228,28413,21203,30672,31756,29806,39764,34437,24064,338833
