State,JanVol,FebVol,MarVol,AprVol,MayVol,JunVol,JulVol,AugVol,SepVol,OctVol,NovVol,DecVol
Alabama,70716,62857,62248,83883,68608,68189,65862,65838,70991,0,0,0
Alaska,6307,7611,12367,7844,10457,9440,23186,19062,12787,0,0,0
Arizona,64691,68940,77730,68763,77513,75140,57337,76269,77555,0,0,0
Arkansas,46268,58098,57969,48442,62525,56610,47604,65937,55546,0,0,0
California,212103,209108,321699,239066,253666,336898,251030,271798,312237,0,0,0
Colorado,48046,46034,52909,51953,57674,61813,61353,63634,57793,0,0,0
Connecticut,18165,16481,28765,18857,17670,30066,20950,24515,29622,0,0,0
Delaware,4759,6327,5854,5704,7508,7124,5572,7243,6645,0,0,0
District of Columbia,1143,1068,1237,879,885,1483,1463,1536,1342,0,0,0
Florida,130882,141648,131100,152934,139109,150534,138706,133889,151472,0,0,0
Georgia,106577,131209,117879,118508,131620,100598,102170,113536,112028,0,0,0
Hawaii,4353,3849,2929,4112,4549,5109,4230,5811,4259,0,0,0
Idaho,23729,23648,21454,22674,22797,25222,28590,26221,29460,0,0,0
Illinois,118597,114302,139360,120669,130422,151564,130121,141195,143221,0,0,0
Indiana,100955,100335,111064,105362,116404,114155,93951,106852,94345,0,0,0
Iowa,51573,48651,58194,55145,55434,54339,68215,65170,59038,0,0,0
Kansas,33600,29924,44868,28455,40304,39726,31935,38812,37768,0,0,0
Kentucky,66803,61743,65548,64660,65691,61810,64796,72751,59985,0,0,0
Louisiana,61103,56840,62875,64474,65194,56420,59863,53170,62830,0,0,0
Maine,5283,19688,64904,7062,23320,15919,9485,89978,9176,0,0,0
Maryland,45027,40210,46859,44839,47152,47656,43720,48903,45353,0,0,0
Massachusetts,32155,31866,36007,33745,39960,39599,34550,39049,36144,0,0,0
Michigan,82976,69156,79240,85145,71263,66134,76278,90842,77461,0,0,0
Minnesota,62053,53926,61224,58868,70503,70711,66973,75656,74008,0,0,0
Mississippi,46455,54152,54324,54256,53997,60513,67633,54939,67640,0,0,0
Missouri,63162,84947,104857,64908,86453,101716,64886,106476,95840,0,0,0
Montana,18780,18581,20769,19791,23471,24894,24511,27408,25516,0,0,0
Nebraska,31257,30799,40605,37086,40257,39668,38189,40416,44337,0,0,0
Nevada,27621,26533,23515,31868,34095,31804,34314,36531,26367,0,0,0
New Hampshire,8302,7676,8660,7753,7906,9668,8301,8302,7251,0,0,0
New Jersey,62979,59147,67819,61388,68640,68600,67752,75941,68608,0,0,0
New Mexico,46789,42671,50639,48045,49741,50426,47008,47728,48357,0,0,0
New York,177865,165864,101322,86470,107931,254209,94904,105061,190196,0,0,0
North Carolina,83302,94067,99137,93640,103781,98960,84712,108316,90154,0,0,0
North Dakota,24025,19239,26398,25250,23142,32319,29203,24146,27734,0,0,0
Ohio,122709,122789,148146,117556,146180,146697,128211,156741,143160,0,0,0
Oklahoma,63458,93490,60683,72652,111271,84089,71130,82595,62212,0,0,0
Oregon,41457,40732,44060,43713,46186,47816,48001,48687,48428,0,0,0
Pennsylvania,105471,100503,152990,109961,123146,163825,115488,128550,150363,0,0,0
Rhode Island,4315,3306,4399,7486,5308,5538,4639,6252,5647,0,0,0
South Carolina,71641,67888,78093,78470,79179,76725,69752,78732,77064,0,0,0
South Dakota,19770,16794,15034,19494,15743,22258,21856,19414,21397,0,0,0
Tennessee,71485,76901,89612,83754,87414,83696,73489,100536,84192,0,0,0
Texas,424769,405326,469428,514552,479572,470991,467724,461153,495475,0,0,0
Utah,31276,47944,41686,37215,43222,40310,43177,44623,45621,0,0,0
Vermont,5464,4616,6067,4817,5018,6570,6188,5280,7656,0,0,0
Virginia,88061,88319,78929,83859,80570,110420,84135,99730,74689,0,0,0
Washington,51941,50178,50584,70326,62796,61837,59528,64938,61349,0,0,0
West Virginia,30042,20055,9610,39143,15325,35726,55512,30496,38782,0,0,0
Wisconsin,57637,70965,64198,72385,73032,73933,62942,82705,68943,0,0,0
Wyoming,30420,18912,24139,26094,22534,29174,28309,27873,30518,0,0,0
U.S. Totals,3208321,3235915,3599987,3403976,3576139,3878641,3389433,3771235,3728562,0,0,0
Puerto Rico,372,622,637,881,1003,1299,589,1014,1206,0,0,0
